IT_US_FATE_TAIYAKI_EXPR	3ターンの間、クロックアップ状態にする
IT_RUNE_R_5_MEIMYAKU_EXPR	【命脈】の力を持つ★3の憤怒刻印
IT_RUNE_R_5_MEIMYAKU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_R_5_HIYAKU_EXPR	【飛躍】の力を持つ★3の憤怒刻印
IT_RUNE_R_5_HIYAKU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_R_5_GIKOU_EXPR	【技巧】の力を持つ★3の憤怒刻印
IT_RUNE_R_5_GIKOU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_R_5_GENZOU_EXPR	【幻像】の力を持つ★3の憤怒刻印
IT_RUNE_R_5_GENZOU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_R_5_ISSEN_EXPR	【一閃】の力を持つ★3の憤怒刻印
IT_RUNE_R_5_ISSEN_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_R_5_ISSO_EXPR	【一掃】の力を持つ★3の憤怒刻印
IT_RUNE_R_5_ISSO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_R_5_TYOUJUN_EXPR	【超盾】の力を持つ★3の憤怒刻印
IT_RUNE_R_5_TYOUJUN_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_R_5_SEICHI_EXPR	【精緻】の力を持つ★3の憤怒刻印
IT_RUNE_R_5_SEICHI_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_R_5_KAIMETSU_EXPR	【壊滅】の力を持つ★3の憤怒刻印
IT_RUNE_R_5_KAIMETSU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SR_5_KONGO_EXPR	【強攻】の力を持つ★4の憤怒刻印
IT_RUNE_SR_5_KONGO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SR_5_MADO_EXPR	【魔道】の力を持つ★4の憤怒刻印
IT_RUNE_SR_5_MADO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SR_5_KENRO_EXPR	【堅牢】の力を持つ★4の憤怒刻印
IT_RUNE_SR_5_KENRO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SR_5_MAJIN_EXPR	【魔陣】の力を持つ★4の憤怒刻印
IT_RUNE_SR_5_MAJIN_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SR_5_TYOUKU_EXPR	【長駆】の力を持つ★4の憤怒刻印
IT_RUNE_SR_5_TYOUKU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SR_5_KAGO_EXPR	【加護】の力を持つ★4の憤怒刻印
IT_RUNE_SR_5_KAGO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SR_5_HOUSEKI_EXPR	【宝石】の力を持つ★4の憤怒刻印
IT_RUNE_SR_5_HOUSEKI_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SR_5_MEIMYAKU_EXPR	【命脈】の力を持つ★4の憤怒刻印
IT_RUNE_SR_5_MEIMYAKU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SR_5_HIYAKU_EXPR	【飛躍】の力を持つ★4の憤怒刻印
IT_RUNE_SR_5_HIYAKU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SR_5_GIKOU_EXPR	【技巧】の力を持つ★4の憤怒刻印
IT_RUNE_SR_5_GIKOU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SR_5_GENZOU_EXPR	【幻像】の力を持つ★4の憤怒刻印
IT_RUNE_SR_5_GENZOU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SR_5_ISSEN_EXPR	【一閃】の力を持つ★4の憤怒刻印
IT_RUNE_SR_5_ISSEN_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SR_5_ISSO_EXPR	【一掃】の力を持つ★4の憤怒刻印
IT_RUNE_SR_5_ISSO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SR_5_TYOUJUN_EXPR	【超盾】の力を持つ★4の憤怒刻印
IT_RUNE_SR_5_TYOUJUN_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SR_5_SEICHI_EXPR	【精緻】の力を持つ★4の憤怒刻印
IT_RUNE_SR_5_SEICHI_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SR_5_KAIMETSU_EXPR	【壊滅】の力を持つ★4の憤怒刻印
IT_RUNE_SR_5_KAIMETSU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SSR_5_KONGO_EXPR	【強攻】の力を持つ★5の憤怒刻印
IT_RUNE_SSR_5_KONGO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SSR_5_MADO_EXPR	【魔道】の力を持つ★5の憤怒刻印
IT_RUNE_SSR_5_MADO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SSR_5_KENRO_EXPR	【堅牢】の力を持つ★5の憤怒刻印
IT_RUNE_SSR_5_KENRO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SSR_5_MAJIN_EXPR	【魔陣】の力を持つ★5の憤怒刻印
IT_RUNE_SSR_5_MAJIN_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SSR_5_TYOUKU_EXPR	【長駆】の力を持つ★5の憤怒刻印
IT_RUNE_SSR_5_TYOUKU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SSR_5_KAGO_EXPR	【加護】の力を持つ★5の憤怒刻印
IT_RUNE_SSR_5_KAGO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SSR_5_HOUSEKI_EXPR	【宝石】の力を持つ★5の憤怒刻印
IT_RUNE_SSR_5_HOUSEKI_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SSR_5_MEIMYAKU_EXPR	【命脈】の力を持つ★5の憤怒刻印
IT_RUNE_SSR_5_MEIMYAKU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SSR_5_HIYAKU_EXPR	【飛躍】の力を持つ★5の憤怒刻印
IT_RUNE_SSR_5_HIYAKU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SSR_5_GIKOU_EXPR	【技巧】の力を持つ★5の憤怒刻印
IT_RUNE_SSR_5_GIKOU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SSR_5_GENZOU_EXPR	【幻像】の力を持つ★5の憤怒刻印
IT_RUNE_SSR_5_GENZOU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SSR_5_ISSEN_EXPR	【一閃】の力を持つ★5の憤怒刻印
IT_RUNE_SSR_5_ISSEN_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SSR_5_ISSO_EXPR	【一掃】の力を持つ★5の憤怒刻印
IT_RUNE_SSR_5_ISSO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SSR_5_TYOUJUN_EXPR	【超盾】の力を持つ★5の憤怒刻印
IT_RUNE_SSR_5_TYOUJUN_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SSR_5_SEICHI_EXPR	【精緻】の力を持つ★5の憤怒刻印
IT_RUNE_SSR_5_SEICHI_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_SSR_5_KAIMETSU_EXPR	【壊滅】の力を持つ★5の憤怒刻印
IT_RUNE_SSR_5_KAIMETSU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。憤怒罪<br>域＜イラ・ベルト＞由来の力を持ち、幻<br>影兵の能力を強化できる。
IT_RUNE_R_6_KONGO_EXPR	【強攻】の力を持つ★3の強欲刻印
IT_RUNE_R_6_KONGO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_R_6_MADO_EXPR	【魔道】の力を持つ★3の強欲刻印
IT_RUNE_R_6_MADO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_R_6_KENRO_EXPR	【堅牢】の力を持つ★3の強欲刻印
IT_RUNE_R_6_KENRO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_R_6_MAJIN_EXPR	【魔陣】の力を持つ★3の強欲刻印
IT_RUNE_R_6_MAJIN_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_R_6_TYOUKU_EXPR	【長駆】の力を持つ★3の強欲刻印
IT_RUNE_R_6_TYOUKU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_R_6_KAGO_EXPR	【加護】の力を持つ★3の強欲刻印
IT_RUNE_R_6_KAGO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_R_6_HOUSEKI_EXPR	【宝石】の力を持つ★3の強欲刻印
IT_RUNE_R_6_HOUSEKI_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_R_6_MEIMYAKU_EXPR	【命脈】の力を持つ★3の強欲刻印
IT_RUNE_R_6_MEIMYAKU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_R_6_HIYAKU_EXPR	【飛躍】の力を持つ★3の強欲刻印
IT_RUNE_R_6_HIYAKU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_R_6_GIKOU_EXPR	【技巧】の力を持つ★3の強欲刻印
IT_RUNE_R_6_GIKOU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_R_6_GENZOU_EXPR	【幻像】の力を持つ★3の強欲刻印
IT_RUNE_R_6_GENZOU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_R_6_ISSEN_EXPR	【一閃】の力を持つ★3の強欲刻印
IT_RUNE_R_6_ISSEN_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_R_6_ISSO_EXPR	【一掃】の力を持つ★3の強欲刻印
IT_RUNE_R_6_ISSO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_R_6_TYOUJUN_EXPR	【超盾】の力を持つ★3の強欲刻印
IT_RUNE_R_6_TYOUJUN_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_R_6_SEICHI_EXPR	【精緻】の力を持つ★3の強欲刻印
IT_RUNE_R_6_SEICHI_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_R_6_KAIMETSU_EXPR	【壊滅】の力を持つ★3の強欲刻印
IT_RUNE_R_6_KAIMETSU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_SR_6_KONGO_EXPR	【強攻】の力を持つ★4の強欲刻印
IT_RUNE_SR_6_KONGO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_SR_6_MADO_EXPR	【魔道】の力を持つ★4の強欲刻印
IT_RUNE_SR_6_MADO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_SR_6_KENRO_EXPR	【堅牢】の力を持つ★4の強欲刻印
IT_RUNE_SR_6_KENRO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_SR_6_MAJIN_EXPR	【魔陣】の力を持つ★4の強欲刻印
IT_RUNE_SR_6_MAJIN_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_SR_6_TYOUKU_EXPR	【長駆】の力を持つ★4の強欲刻印
IT_RUNE_SR_6_TYOUKU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_SR_6_KAGO_EXPR	【加護】の力を持つ★4の強欲刻印
IT_RUNE_SR_6_KAGO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_SR_6_HOUSEKI_EXPR	【宝石】の力を持つ★4の強欲刻印
IT_RUNE_SR_6_HOUSEKI_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_SR_6_MEIMYAKU_EXPR	【命脈】の力を持つ★4の強欲刻印
IT_RUNE_SR_6_MEIMYAKU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_SR_6_HIYAKU_EXPR	【飛躍】の力を持つ★4の強欲刻印
IT_RUNE_SR_6_HIYAKU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_SR_6_GIKOU_EXPR	【技巧】の力を持つ★4の強欲刻印
IT_RUNE_SR_6_GIKOU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_SR_6_GENZOU_EXPR	【幻像】の力を持つ★4の強欲刻印
IT_RUNE_SR_6_GENZOU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_SR_6_ISSEN_EXPR	【一閃】の力を持つ★4の強欲刻印
IT_RUNE_SR_6_ISSEN_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_SR_6_ISSO_EXPR	【一掃】の力を持つ★4の強欲刻印
IT_RUNE_SR_6_ISSO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_SR_6_TYOUJUN_EXPR	【超盾】の力を持つ★4の強欲刻印
IT_RUNE_SR_6_TYOUJUN_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_SR_6_SEICHI_EXPR	【精緻】の力を持つ★4の強欲刻印
IT_RUNE_SR_6_SEICHI_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_SR_6_KAIMETSU_EXPR	【壊滅】の力を持つ★4の強欲刻印
IT_RUNE_SR_6_KAIMETSU_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_SSR_6_KONGO_EXPR	【強攻】の力を持つ★5の強欲刻印
IT_RUNE_SSR_6_KONGO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_SSR_6_MADO_EXPR	【魔道】の力を持つ★5の強欲刻印
IT_RUNE_SSR_6_MADO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_SSR_6_KENRO_EXPR	【堅牢】の力を持つ★5の強欲刻印
IT_RUNE_SSR_6_KENRO_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_SSR_6_MAJIN_EXPR	【魔陣】の力を持つ★5の強欲刻印
IT_RUNE_SSR_6_MAJIN_FLAVOR	太古に破壊され、世界に飛散したグラン<br>エクシエルの力の一部を持ち続けている<br>石。大罪の刻印が刻まれている。強欲罪<br>域＜アヴァリティア・ベルト＞由来の力<br>を持ち、幻影兵の能力を強化できる。
IT_RUNE_SSR_6_TYOUKU_EXPR	【長駆】の力を持つ★5の強欲刻印
